part_name,part_number,quantity,material_type,material_grade,material_thickness,finish,cut_len_in,num_cuts,mat_use_sqin,sheet_area_sqin,surf_area_sqin,volume_in3,length_in,thickness,source_file,part_id,price_per_part
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.032,No Deburring,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p032_No_Deburring.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,51.67
Cube,25-09-242-078,1,Aluminum,5052-H32,0.032,No Deburring,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p032_No_Deburring.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,12.3
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.032,No Deburring,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p032_No_Deburring.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,138.35
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.032,No Deburring,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p032_No_Deburring.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,64.76
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.032,No Deburring,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p032_No_Deburring.json,part_335IuUTxABXuZdELzMzpdOKMZzj,38.01
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.032,No Deburring,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p032_No_Deburring.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,23.76
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.04,Deburred,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p040_Deburred.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,65.12
Cube,25-09-242-078,1,Aluminum,5052-H32,0.04,Deburred,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p040_Deburred.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,14.84
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.04,Deburred,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p040_Deburred.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,176.12
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.04,Deburred,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p040_Deburred.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,81.85
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.04,Deburred,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p040_Deburred.json,part_335IuUTxABXuZdELzMzpdOKMZzj,47.66
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.04,Deburred,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p040_Deburred.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,29.47
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,222.44
Cube,25-09-242-078,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,29.0
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,691.37
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,290.31
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335IuUTxABXuZdELzMzpdOKMZzj,153.85
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,84.53
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.04,No Deburring,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p040_No_Deburring.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,61.47
Cube,25-09-242-078,1,Aluminum,5052-H32,0.04,No Deburring,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p040_No_Deburring.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,13.09
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.04,No Deburring,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p040_No_Deburring.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,167.75
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.04,No Deburring,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p040_No_Deburring.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,77.53
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.04,No Deburring,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p040_No_Deburring.json,part_335IuUTxABXuZdELzMzpdOKMZzj,44.68
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.04,No Deburring,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p040_No_Deburring.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,27.17
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.05,Deburred,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p050_Deburred.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,77.94
Cube,25-09-242-078,1,Aluminum,5052-H32,0.05,Deburred,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p050_Deburred.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,15.89
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.05,Deburred,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p050_Deburred.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,214.69
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.05,Deburred,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p050_Deburred.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,98.57
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.05,Deburred,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p050_Deburred.json,part_335IuUTxABXuZdELzMzpdOKMZzj,56.4
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.05,Deburred,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p050_Deburred.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,33.95
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,235.26
Cube,25-09-242-078,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,30.05
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,729.94
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,307.03
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335IuUTxABXuZdELzMzpdOKMZzj,162.59
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,89.01
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.05,No Deburring,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p050_No_Deburring.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,74.29
Cube,25-09-242-078,1,Aluminum,5052-H32,0.05,No Deburring,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p050_No_Deburring.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,14.14
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.05,No Deburring,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p050_No_Deburring.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,206.32
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.05,No Deburring,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p050_No_Deburring.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,94.25
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.05,No Deburring,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p050_No_Deburring.json,part_335IuUTxABXuZdELzMzpdOKMZzj,53.42
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.05,No Deburring,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p050_No_Deburring.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,31.65
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.063,Deburred,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p063_Deburred.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,94.45
Cube,25-09-242-078,1,Aluminum,5052-H32,0.063,Deburred,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p063_Deburred.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,17.24
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.063,Deburred,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p063_Deburred.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,264.35
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.063,Deburred,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p063_Deburred.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,120.1
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.063,Deburred,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p063_Deburred.json,part_335IuUTxABXuZdELzMzpdOKMZzj,67.65
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.063,Deburred,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p063_Deburred.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,39.71
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,251.77
Cube,25-09-242-078,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,31.4
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,779.59
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,328.56
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335IuUTxABXuZdELzMzpdOKMZzj,173.85
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,94.77
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.063,No Deburring,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p063_No_Deburring.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,90.8
Cube,25-09-242-078,1,Aluminum,5052-H32,0.063,No Deburring,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p063_No_Deburring.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,15.49
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.063,No Deburring,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p063_No_Deburring.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,255.97
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.063,No Deburring,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p063_No_Deburring.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,115.78
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.063,No Deburring,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p063_No_Deburring.json,part_335IuUTxABXuZdELzMzpdOKMZzj,64.68
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.063,No Deburring,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p063_No_Deburring.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,37.41
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.08,Deburred,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p080_Deburred.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,115.29
Cube,25-09-242-078,1,Aluminum,5052-H32,0.08,Deburred,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p080_Deburred.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,18.91
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.08,Deburred,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p080_Deburred.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,326.88
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.08,Deburred,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p080_Deburred.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,147.27
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.08,Deburred,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p080_Deburred.json,part_335IuUTxABXuZdELzMzpdOKMZzj,81.86
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.08,Deburred,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p080_Deburred.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,46.97
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,272.61
Cube,25-09-242-078,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,33.07
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,842.13
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,355.73
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335IuUTxABXuZdELzMzpdOKMZzj,188.05
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,102.03
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.08,No Deburring,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p080_No_Deburring.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,111.64
Cube,25-09-242-078,1,Aluminum,5052-H32,0.08,No Deburring,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p080_No_Deburring.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,17.15
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.08,No Deburring,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p080_No_Deburring.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,318.51
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.08,No Deburring,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p080_No_Deburring.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,142.95
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.08,No Deburring,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p080_No_Deburring.json,part_335IuUTxABXuZdELzMzpdOKMZzj,78.88
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.08,No Deburring,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p080_No_Deburring.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,44.67
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.09,Deburred,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p090_Deburred.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,127.56
Cube,25-09-242-078,1,Aluminum,5052-H32,0.09,Deburred,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p090_Deburred.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,19.89
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.09,Deburred,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p090_Deburred.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,363.7
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.09,Deburred,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p090_Deburred.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,163.27
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.09,Deburred,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p090_Deburred.json,part_335IuUTxABXuZdELzMzpdOKMZzj,90.22
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.09,Deburred,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p090_Deburred.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,51.24
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,284.89
Cube,25-09-242-078,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,34.05
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,878.95
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,371.72
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335IuUTxABXuZdELzMzpdOKMZzj,196.41
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,106.3
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.09,No Deburring,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p090_No_Deburring.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,123.92
Cube,25-09-242-078,1,Aluminum,5052-H32,0.09,No Deburring,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p090_No_Deburring.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,18.14
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.09,No Deburring,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p090_No_Deburring.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,355.33
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.09,No Deburring,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p090_No_Deburring.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,158.95
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.09,No Deburring,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p090_No_Deburring.json,part_335IuUTxABXuZdELzMzpdOKMZzj,87.25
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.09,No Deburring,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p090_No_Deburring.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,48.94
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.1,Deburred,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p100_Deburred.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,140.29
Cube,25-09-242-078,1,Aluminum,5052-H32,0.1,Deburred,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p100_Deburred.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,20.93
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.1,Deburred,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p100_Deburred.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,401.99
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.1,Deburred,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p100_Deburred.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,179.87
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.1,Deburred,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p100_Deburred.json,part_335IuUTxABXuZdELzMzpdOKMZzj,98.9
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.1,Deburred,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p100_Deburred.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,55.69
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.1,Matte Black Powder Coat,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p100_Matte_Black_Powder_Coat.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,297.62
Cube,25-09-242-078,1,Aluminum,5052-H32,0.1,Matte Black Powder Coat,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p100_Matte_Black_Powder_Coat.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,35.09
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.1,Matte Black Powder Coat,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p100_Matte_Black_Powder_Coat.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,917.24
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.1,Matte Black Powder Coat,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p100_Matte_Black_Powder_Coat.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,388.33
